opendb_id,metadata_name,metadata_manufacturer,metadata_series,metadata_variant,metadata_releaseYear,socket,_source_file,audio_channels,audio_chipset,back_connect_connectors,back_panel_ports,bios_features_clear_cmos,bios_features_flashback,chipset,color,ecc_support,fan_headers_case_fan,fan_headers_cpu_fan,fan_headers_cpu_opt,fan_headers_pump,form_factor,front_panel_headers_hdd_led,front_panel_headers_power_button,front_panel_headers_power_led,front_panel_headers_reset_button,general_product_information_amazon_sku,general_product_information_bestbuy_sku,general_product_information_ibuypower_sku,general_product_information_manufacturer_url,general_product_information_newegg_sku,general_product_information_walmart_sku,lighting,m2_slots,memory_max,memory_ram_type,memory_slots,metadata_last_manually_spec_verified_at,metadata_manufacturer_color,metadata_part_numbers,onboard_ethernet,other_headers_com_port,other_headers_temperature_sensor,other_headers_thunderbolt,pcie_slots,power_connectors_cpu_power,power_connectors_main_power,raid_support,rgb_headers_argb_5v,rgb_headers_rgb_12v,storage_devices_sata_3_gb_s,storage_devices_sata_6_gb_s,storage_devices_u2,usb_headers_usb_2_0,usb_headers_usb_3_2_gen_1,usb_headers_usb_3_2_gen_2,usb_headers_usb_3_2_gen_2x2,usb_headers_usb_4,usb_headers_usb_4_80g,wireless_networking
00f162eb-ffff-40d2-a14c-687278e64da1,ECS H81 H81H3-TI2 LGA1150 DDR3 Thin Mini ITX,ECS,H81,,,LGA 1150,00f162eb-ffff-40d2-a14c-687278e64da1.json,7.1,Realtek,False,1 x 1 Gb/s,False,False,Intel H81,BLACK,False,,,,,Thin Mini-ITX,,,,,,,,,,,,,8,DDR3,1,,,H81H3-TI2,"[{""speed"": ""1 Gb/s"", ""controller"": ""Unknown"", ""_id"": ""69b3ab5381594acde48f84b1""}]",,,,,,,False,,,1,1,0,3,0,0,0,0,,
0102b9bd-59ea-4bb5-a5e0-75e53e6a7c5e,ASUS H310 PRIME H310M-R R2.0 LGA1151 DDR4 Micro ATX,ASUS,ASUS,,,LGA 1151,0102b9bd-59ea-4bb5-a5e0-75e53e6a7c5e.json,7.1,Realtek,False,1 x 1 Gb/s (Realtek RTL8111H),False,False,Intel H310,BLACK,False,,,,,Micro ATX,,,,,,,,,,,,,32,DDR4,2,,,PRIME H310M-R R2.0 | 90mb0yl0-m0ecy0,"[{""speed"": ""1 Gb/s"", ""controller"": ""Realtek RTL8111H"", ""_id"": ""69b3ab53cf841c9bc5aa0658""}]",,,,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ab53cf841c9bc5aa0656""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3ab53cf841c9bc5aa0657""}]",,,False,,,0,4,0,2,1,0,0,0,,
01074bc3-89ac-4fa5-b706-5f84dd7bbb65,ASRock B560M Pro4 LGA1200 DDR4 Micro ATX,ASRock,B560M,,,LGA 1200,01074bc3-89ac-4fa5-b706-5f84dd7bbb65.json,7.1,Realtek,False,1 x 1 Gb/s (Intel I219-V),False,False,Intel B560,GREY | BLACK,False,,,,,Micro ATX,,,,,,,,,,,,"[{""size"": ""2242-2260"", ""key"": ""M"", ""interface"": ""PCIe 4.0 x4"", ""_id"": ""69b3ab54cf841c9bc5aa06ad""}, {""size"": ""2280"", ""key"": ""M"", ""interface"": ""PCIe 4.0 x4"", ""_id"": ""69b3ab54cf841c9bc5aa06ae""}, {""size"": ""2280"", ""key"": ""M"", ""interface"": ""PCIe 4.0 x4"", ""_id"": ""69b3ab54cf841c9bc5aa06af""}, {""size"": ""2280"", ""key"": ""E"", ""interface"": ""PCIe 4.0 x4"", ""_id"": ""69b3ab54cf841c9bc5aa06b0""}]",128,DDR4,4,,,B560M PRO4 | 90-MXBEL0-A0UAYZ,"[{""speed"": ""1 Gb/s"", ""controller"": ""Intel I219-V"", ""_id"": ""69b3ab54cf841c9bc5aa06b1""}]",,,,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3ab54cf841c9bc5aa06ab""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3ab54cf841c9bc5aa06ac""}]",,,False,,,0,6,0,2,1,1,0,0,,
011e1664-de3e-4923-9e24-1ba2dbb138e6,MSI PRO B650M-P,MSI,PRO,B650M-P,2023,AM5,011e1664-de3e-4923-9e24-1ba2dbb138e6.json,7.1,Realtek ALC897,,1 x Flash BIOS button | 1 x DisplayPort 1.4 | 1 x HDMI 2.1 port | 1 x VGA port | 2 x USB 3.2 Gen 2 10Gbps Type-A ports | 2 x USB 3.2 Gen 1 5Gbps Type-A ports | 4 x USB 2.0 Type-A ports | 1 x PS/2 keyboard/mouse combo port | 1 x 2.5Gbps LAN (RJ45) jack | 3 x Audio jacks,,True,AMD B650,BLACK | GREY,,3,1,,1,Micro ATX,True,True,True,True,B0C7SJFDXK,11013374,,https://www.msi.com/Motherboard/PRO-B650M-P/Specification,N82E16813144607,3832150314,,"[{""size"": ""2280/2260"", ""key"": ""M"", ""interface"": ""PCIe 4.0 x4""}, {""size"": ""2280/2260"", ""key"": ""M"", ""interface"": ""PCIe 4.0 x4""}]",256,DDR5,4,2026-04-27T14:43:51.000Z,,PRO B650M-P | PROB650M-P,"[{""speed"": ""2.5 Gb/s"", ""controller"": ""Realtek 8125BG""}]",1,,,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""3.0"", ""quantity"": 2, ""lanes"": 1}]",8-pin,24-pin,True,2,2,,4,,2,1,1,,,,
0122d16b-843c-4ab1-a189-d07d2d94dc33,MSI A320M PRO-VD PLUS AM4 DDR4 Micro ATX,MSI,A320M,,,AM4,0122d16b-843c-4ab1-a189-d07d2d94dc33.json,7.1,Realtek,False,1 x 1 Gb/s,False,False,AMD A320,BROWN | BLACK,False,,,,,Micro ATX,,,,,,,,,,,,,32,DDR4,2,,,A320M PRO-VD PLUS | 7A36-001R,"[{""speed"": ""1 Gb/s"", ""controller"": ""Unknown"", ""_id"": ""69b3ab54744e69396d55bc02""}]",,,,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ab54744e69396d55bc00""}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1, ""_id"": ""69b3ab54744e69396d55bc01""}]",,,True,,,0,4,0,2,1,0,0,0,,
0123d1be-d426-4948-85e5-ebe239b661bc,Supermicro Intel C612 X10SRM-F LGA2011-3 Narrow DDR4 Micro ATX,Supermicro,Intel,,,LGA 2011-3 Narrow,0123d1be-d426-4948-85e5-ebe239b661bc.json,7.1,Realtek,False,2 x 1 Gb/s,False,False,Intel C612,BLACK | GREEN,True,,,,,Micro ATX,,,,,,,,,,,,"[{""size"": ""2242-2280"", ""key"": ""M"", ""interface"": ""PCIe 4.0 x4"", ""_id"": ""69b3ab5475ef0cf5df011035""}, {""size"": ""2280"", ""key"": ""M"", ""interface"": ""PCIe 4.0 x4"", ""_id"": ""69b3ab5475ef0cf5df011036""}]",512,DDR4,4,,,X10SRM-F,"[{""speed"": ""1 Gb/s"", ""controller"": ""Unknown"", ""_id"": ""69b3ab5475ef0cf5df011037""}]",,,,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ab5475ef0cf5df011033""}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 8, ""_id"": ""69b3ab5475ef0cf5df011034""}]",,,False,,,0,10,0,2,1,0,0,0,,
015dcb05-332e-4cad-8696-9b169b99652c,ASRock B850 Pro RS WiFi AM5 DDR5 ATX,ASRock,PRO,B850 RS WIFI,,AM5,015dcb05-332e-4cad-8696-9b169b99652c.json,7.1,Realtek,False,1 x 2.5 Gb/s Ports (Realtek Dragon RTL8125BG),False,False,AMD B850,GREY | BLACK,False,,,,,ATX,,,,,B0DRTVDVVK,,,,N82E16813162190,15159012610,,"[{""size"": ""2280"", ""key"": ""M"", ""interface"": ""PCIe 4.0 x4""}, {""size"": ""2280"", ""key"": ""M"", ""interface"": ""PCIe 4.0 x4""}, {""size"": ""2230-2242"", ""key"": ""M"", ""interface"": ""PCIe 4.0 x4""}, {""size"": ""2280"", ""key"": ""M"", ""interface"": ""PCIe 4.0 x4""}, {""size"": ""2280"", ""key"": ""M"", ""interface"": ""PCIe 4.0 x4""}, {""size"": ""2280"", ""key"": ""E"", ""interface"": ""PCIe 4.0 x4""}]",256,DDR5,4,,Black/Silver,B850 Pro RS WiFi | 90-MXBQL-A0UAYZ | 90-MXBQL0-A0UAYZ | B850 PRO RS WIFI,"[{""speed"": ""2.5 Gb/s"", ""controller"": ""Realtek Dragon RTL8125BG""}]",,,,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16}]",,,True,,,0,0,0,2,2,0,1,0,,
01b21076-587f-4e18-aaa4-e93e673906a5,ASRock B860 Lightning WiFi DDR5 ATX,ASRock,B860,,,LGA 1851,01b21076-587f-4e18-aaa4-e93e673906a5.json,7.1,Realtek,False,1 x 2.5 Gb/s (Realtek Dragon RTL8125BG),False,False,Intel B860,BLACK,False,,,,,ATX,,,,,B0DSQWBHCG,,,,N82E16813162202,15047952822,,"[{""size"": ""2280"", ""key"": ""M"", ""interface"": ""PCIe 4.0 x4"", ""_id"": ""69b3ab56744e69396d55bc36""}, {""size"": ""2230-2242"", ""key"": ""M"", ""interface"": ""PCIe 4.0 x4"", ""_id"": ""69b3ab56744e69396d55bc37""}, {""size"": ""2280"", ""key"": ""M"", ""interface"": ""PCIe 4.0 x4"", ""_id"": ""69b3ab56744e69396d55bc38""}, {""size"": ""2280"", ""key"": ""M"", ""interface"": ""PCIe 4.0 x4"", ""_id"": ""69b3ab56744e69396d55bc39""}, {""size"": ""2280"", ""key"": ""M"", ""interface"": ""PCIe 4.0 x4"", ""_id"": ""69b3ab56744e69396d55bc3a""}, {""size"": ""2280"", ""key"": ""E"", ""interface"": ""PCIe 4.0 x4"", ""_id"": ""69b3ab56744e69396d55bc3b""}]",256,DDR5,4,,,B860 Lightning WiFi | 90-MXBR2-A0UAYZ | 90-MXBR20-A0UAYZ | B860 LIGHTNING WIFI,"[{""speed"": ""2.5 Gb/s"", ""controller"": ""Realtek Dragon RTL8125BG"", ""_id"": ""69b3ab56744e69396d55bc3c""}]",,,,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3ab56744e69396d55bc35""}]",,,True,,,0,4,0,2,2,0,1,0,,
01be04cd-4dba-4d95-b06c-4f24846a60fe,ASUS X870 MAX GAMING WIFI7 W AM5 DDR5 ATX,ASUS,PRIME,X870 MAX GAMING WIFI7,2025,AM5,01be04cd-4dba-4d95-b06c-4f24846a60fe.json,7.1,Realtek,False,2 x USB4® (40Gbps) ports (2 x USB Type-C®) | 1 x USB 10Gbps port (1 x Type-A) | 3 x USB 5Gbps ports (3 x Type-A) | 4 x USB 2.0 ports (4 x Type-A) | 1 x HDMI™ port | 1 x Wi-Fi module | 1 x Realtek 2.5Gb Ethernet port | 3 x Audio jacks | 1 x BIOS FlashBack™ button,False,True,AMD X870,WHITE,True,4,1,1,1,ATX,True,True,True,True,B0F8JZJ2ZJ,,,https://www.asus.com/ph/motherboards-components/motherboards/others/x870-max-gaming-wifi7-w/,N82E16813119754,,None,"[{""size"": ""2280"", ""key"": ""M"", ""interface"": ""PCIe 5.0 x4""}, {""size"": ""2242/2260/2280"", ""key"": ""M"", ""interface"": ""PCIe 4.0 x4""}, {""size"": ""2280"", ""key"": ""M"", ""interface"": ""PCIe 4.0 x4""}]",256,DDR5,4,,White,X870 MAX GAMING WIFI7 W | 90MB1LZ0-M0EAY0 | 90MB1LZ0-MVAAY0,"[{""speed"": ""2.5 Gb/s"", ""controller"": ""Realtek""}]",1,0,0,"[{""gen"": ""5.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1}, {""gen"": ""3.0"", ""quantity"": 1, ""lanes"": 1}]",8-pin | 8-pin,24-pin,True,3,0,0,4,0,2,1,0,1,0,0,Wifi 7
01c7e802-799d-4ed2-87b4-08b8e572fe52,MSI B550-A PRO (CEC),MSI,PRO,B550-A PRO (CEC),2020,AM4,01c7e802-799d-4ed2-87b4-08b8e572fe52.json,7.1,Realtek,False,1x Flash BIOS Button | 1x PS/2 keyboard/ mouse combo port | 4x USB 2.0 Type-A ports | 1x Display port | 1x HDMI port | 1x LAN (RJ45) port | 2x USB 3.2 Gen 1 5Gbps Type-A ports | 1x USB 3.2 Gen 2 10Gbps Type-A port | 1x USB 3.2 Gen 2 10Gbps Type-C port | 6x Audio jacks,False,True,AMD B550,BLACK,True,6,1,,1,ATX,True,True,True,True,,,,https://www.msi.com/Motherboard/B550-A-PRO-CEC/Overview,,,None,"[{""size"": ""2242/ 2260/ 2280/ 22110"", ""key"": ""M"", ""interface"": ""PCIe 4.0 x4""}, {""size"": ""2242/ 2260/ 2280"", ""key"": ""M"", ""interface"": ""PCIe 3.0 x4""}]",128,DDR4,4,,Black,B550-A PRO (CEC),"[{""speed"": ""1 Gb/s"", ""controller"": ""Realtek RTL8111H""}]",1,,,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""3.0"", ""quantity"": 2, ""lanes"": 1}, {""gen"": ""3.0"", ""quantity"": 1, ""lanes"": 4}]",8-pin,24-pin,True,2,1,0,8,0,2,1,1,0,0,,None
01d08127-7794-462c-96ef-697f5d13b15a,MSI B450-A PRO MAX,MSI,B450-A PRO MAX,,2019,AM4,01d08127-7794-462c-96ef-697f5d13b15a.json,7.1,Realtek ALC892/ALC897 Codec,False,Flash BIOS Button | PS/2 Combo Port | VGA Port | USB 3.2 Gen1 | LAN Port | HD Audio Connectors | USB 2.0 ports | DVI-D Port | HDMI™ Port | USB 3.2 Gen2,True,True,AMD B450,,False,,,,,ATX,,,,,B07XPZMKQ6,,,,9SIAD6HK5V6955,528347300,,"[{""size"": ""2242/2260/2280/22110"", ""key"": ""M"", ""interface"": ""PCIe 3.0 x4"", ""_id"": ""69b3ab574fd4af70a349aa1e""}]",64,DDR4,4,,,B450APROMAX | B450-A PRO MAX,"[{""speed"": ""1 Gb/s"", ""controller"": ""Realtek 8111H"", ""_id"": ""69b3ab574fd4af70a349aa1f""}]",,,,"[{""gen"": ""3.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3ab574fd4af70a349aa1b""}, {""gen"": ""2.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ab574fd4af70a349aa1c""}, {""gen"": ""2.0"", ""quantity"": 4, ""lanes"": 1, ""_id"": ""69b3ab574fd4af70a349aa1d""}]",,,False,,,0,6,0,2,1,0,0,0,,
