ram_type,motherboard_ram_type,ram_speed,ram_capacity,ram_modules,ram_cas_latency,motherboard_memory_max,motherboard_memory_slots,label
DDR5,DDR5,7600.0,48.0,2,36.0,192.0,4,1
DDR5,DDR5,6400.0,32.0,2,36.0,128.0,2,1
DDR4,DDR4,3000.0,16.0,2,15.0,64.0,4,1
DDR5,DDR5,6000.0,48.0,2,28.0,256.0,4,1
DDR3,DDR4,1333.0,16.0,2,9.0,64.0,2,0
DDR4,DDR4,3600.0,128.0,4,16.0,64.0,4,1
DDR4,DDR3,3200.0,16.0,2,16.0,16.0,2,0
DDR4,DDR4,3200.0,16.0,2,16.0,64.0,4,1
DDR5,DDR5,6000.0,32.0,2,26.0,256.0,4,1
DDR4,DDR4,3200.0,32.0,2,22.0,128.0,4,1
DDR5,DDR5,5200.0,32.0,2,34.0,256.0,4,1
DDR4,DDR5,2133.0,64.0,2,15.0,128.0,2,0
DDR4,DDR4,3200.0,16.0,1,16.0,64.0,2,1
DDR3,DDR4,1600.0,4.0,1,9.0,128.0,4,0
DDR4,DDR4,2133.0,16.0,4,13.0,128.0,4,1
DDR4,DDR4,3200.0,32.0,2,16.0,128.0,4,1
DDR3,DDR4,1866.0,16.0,2,10.0,128.0,4,0
DDR4,DDR4,2666.0,64.0,4,19.0,32.0,2,1
DDR5,DDR2,6000.0,32.0,1,38.0,8.0,2,0
DDR4,DDR5,3200.0,16.0,2,16.0,256.0,4,0
DDR5,DDR4,7600.0,48.0,2,36.0,128.0,4,0
DDR4,DDR4,3200.0,16.0,2,14.0,128.0,4,1
DDR4,DDR4,3600.0,32.0,1,18.0,128.0,4,1
DDR4,DDR4,2400.0,8.0,2,16.0,128.0,4,1
DDR4,DDR3,2400.0,32.0,2,16.0,4.0,2,0
DDR4,DDR5,3200.0,64.0,4,16.0,192.0,4,0
DDR5,DDR5,5200.0,32.0,2,38.0,256.0,4,1
DDR5,DDR4,6400.0,32.0,2,32.0,128.0,4,0
DDR5,DDR4,6000.0,16.0,2,36.0,128.0,4,0
DDR4,DDR4,3200.0,8.0,1,16.0,128.0,4,1
DDR5,DDR5,6400.0,16.0,1,32.0,256.0,4,1
DDR4,DDR4,2133.0,16.0,1,15.0,64.0,8,1
DDR5,DDR4,8000.0,32.0,2,38.0,64.0,2,0
DDR5,DDR5,6000.0,32.0,2,32.0,256.0,4,1
DDR5,DDR3,6000.0,64.0,2,30.0,32.0,4,0
DDR5,DDR5,6000.0,32.0,2,32.0,256.0,4,1
DDR4,DDR5,2400.0,8.0,2,17.0,128.0,2,0
DDR4,DDR3,3000.0,8.0,1,16.0,16.0,4,0
DDR4,DDR4,2666.0,16.0,2,18.0,128.0,4,1
DDR5,DDR5,8200.0,32.0,2,36.0,192.0,4,1
DDR4,DDR4,2400.0,16.0,1,17.0,64.0,4,1
DDR5,DDR5,6400.0,48.0,2,32.0,96.0,2,1
DDR5,DDR5,6000.0,16.0,1,30.0,256.0,4,1
DDR4,DDR4,2666.0,16.0,1,19.0,32.0,2,1
DDR5,DDR4,6000.0,32.0,2,40.0,64.0,4,0
DDR4,DDR4,3000.0,16.0,2,16.0,64.0,4,1
DDR5,DDR3,6000.0,96.0,4,30.0,16.0,4,0
DDR5,DDR4,5200.0,48.0,2,40.0,128.0,4,0
DDR5,DDR4,5600.0,16.0,1,36.0,128.0,4,0
DDR4,DDR4,4000.0,16.0,2,18.0,128.0,4,1
DDR4,DDR4,2133.0,8.0,1,15.0,64.0,4,1
DDR4,DDR4,3200.0,32.0,4,16.0,64.0,4,1
DDR5,DDR3,6400.0,64.0,2,34.0,32.0,4,0
DDR4,DDR4,4000.0,128.0,8,19.0,64.0,4,1
DDR4,DDR5,3200.0,32.0,2,22.0,128.0,2,0
DDR5,DDR5,6400.0,32.0,2,40.0,256.0,4,1
DDR4,DDR3,2400.0,16.0,2,15.0,32.0,4,0
DDR4,DDR4,2133.0,8.0,2,15.0,128.0,8,1
DDR4,DDR3,3600.0,64.0,4,14.0,32.0,4,0
DDR4,DDR3,3200.0,16.0,2,16.0,64.0,4,0
DDR3,DDR4,1600.0,8.0,1,11.0,64.0,2,0
DDR4,DDR4,3200.0,64.0,2,22.0,128.0,4,1
DDR5,DDR4,4800.0,64.0,2,40.0,64.0,2,0
DDR4,DDR2,3200.0,32.0,2,16.0,8.0,4,0
DDR5,DDR3,6000.0,16.0,1,48.0,8.0,4,0
DDR4,DDR4,3600.0,32.0,2,18.0,256.0,8,1
DDR4,DDR3,3200.0,16.0,2,16.0,32.0,4,0
DDR5,DDR4,6000.0,32.0,2,36.0,64.0,4,0
DDR3,DDR4,2133.0,16.0,2,9.0,128.0,4,0
DDR4,DDR3,3200.0,16.0,2,16.0,32.0,4,0
DDR5,DDR3,6400.0,32.0,2,40.0,16.0,2,0
DDR3,DDR4,1333.0,4.0,1,9.0,128.0,8,0
DDR4,DDR4,3200.0,16.0,2,18.0,128.0,4,1
DDR5,DDR5,6000.0,64.0,2,32.0,128.0,2,1
DDR4,DDR4,3200.0,8.0,1,18.0,128.0,4,1
DDR5,DDR4,5600.0,32.0,2,46.0,32.0,2,0
DDR5,DDR4,8000.0,32.0,2,36.0,64.0,4,0
DDR5,DDR5,6000.0,32.0,2,38.0,192.0,4,1
DDR4,DDR4,3600.0,16.0,2,18.0,64.0,4,1
DDR5,DDR4,6000.0,48.0,2,30.0,128.0,8,0
DDR5,DDR5,4800.0,32.0,1,38.0,192.0,4,1
DDR4,DDR4,3200.0,32.0,2,16.0,128.0,4,1
DDR5,DDR5,5600.0,32.0,2,38.0,192.0,4,1
DDR5,DDR4,6000.0,32.0,2,40.0,64.0,4,0
DDR4,DDR4,3600.0,32.0,2,20.0,128.0,4,1
DDR4,DDR4,3200.0,32.0,2,22.0,128.0,8,1
DDR4,DDR4,3600.0,128.0,4,18.0,32.0,2,1
DDR5,DDR4,6000.0,32.0,1,30.0,64.0,4,0
DDR4,DDR4,2666.0,32.0,4,15.0,128.0,4,1
DDR5,DDR5,7200.0,24.0,1,38.0,256.0,4,1
DDR4,DDR4,3200.0,8.0,1,16.0,128.0,4,1
DDR5,DDR4,7600.0,32.0,2,36.0,64.0,4,0
DDR5,DDR3,6800.0,16.0,1,34.0,32.0,2,0
DDR5,DDR4,7000.0,48.0,2,40.0,64.0,4,0
DDR4,DDR5,2400.0,4.0,1,17.0,128.0,2,0
DDR5,DDR4,5200.0,32.0,2,38.0,128.0,8,0
DDR5,DDR3,6400.0,48.0,2,32.0,24.0,6,0
DDR4,DDR3,2666.0,16.0,2,19.0,8.0,2,0
DDR4,DDR4,2133.0,16.0,1,15.0,64.0,2,1
DDR4,DDR4,3200.0,16.0,1,22.0,32.0,2,1
DDR5,DDR4,6400.0,64.0,2,34.0,64.0,2,0
DDR5,DDR5,6000.0,16.0,2,40.0,256.0,4,1
DDR2,DDR4,800.0,16.0,4,5.0,128.0,4,0
DDR4,DDR4,3200.0,8.0,1,16.0,128.0,4,1
DDR5,DDR5,6000.0,64.0,2,30.0,256.0,4,1
DDR5,DDR5,6400.0,32.0,2,30.0,256.0,4,1
DDR5,DDR5,5600.0,32.0,2,36.0,192.0,4,1
DDR4,DDR3,2666.0,64.0,2,18.0,32.0,4,0
DDR4,DDR4,2666.0,16.0,2,16.0,128.0,4,1
DDR5,DDR4,6000.0,32.0,2,32.0,128.0,8,0
DDR5,DDR3,4800.0,8.0,1,40.0,32.0,4,0
DDR5,DDR4,5600.0,32.0,2,36.0,128.0,4,0
DDR5,DDR4,7200.0,48.0,2,36.0,64.0,2,0
DDR4,DDR5,3000.0,16.0,2,15.0,96.0,2,0
DDR4,DDR4,3200.0,16.0,2,16.0,64.0,2,1
DDR5,DDR5,5600.0,32.0,1,46.0,256.0,4,1
DDR4,DDR4,3600.0,32.0,2,18.0,64.0,4,1
DDR5,DDR5,6000.0,32.0,2,36.0,128.0,2,1
DDR5,DDR4,5600.0,16.0,1,46.0,128.0,4,0
DDR4,DDR3,3600.0,16.0,2,18.0,32.0,4,0
DDR4,DDR5,3200.0,32.0,2,16.0,256.0,4,0
DDR5,DDR4,6400.0,48.0,2,32.0,32.0,2,0
DDR5,DDR5,6000.0,32.0,2,30.0,96.0,2,1
DDR5,DDR5,7600.0,32.0,2,36.0,128.0,2,1
DDR5,DDR4,5600.0,32.0,1,36.0,64.0,2,0
DDR5,DDR3,6400.0,32.0,2,30.0,16.0,2,0
DDR4,DDR5,2666.0,4.0,1,15.0,256.0,4,0
DDR5,DDR5,5600.0,32.0,2,36.0,192.0,4,1
DDR5,DDR4,6400.0,96.0,2,32.0,64.0,4,0
DDR4,DDR4,2400.0,16.0,2,16.0,256.0,8,1
DDR5,DDR3,7200.0,32.0,2,34.0,32.0,4,0
DDR4,DDR4,3600.0,16.0,1,18.0,64.0,4,1
DDR4,DDR5,2400.0,8.0,1,15.0,192.0,4,0
DDR3,DDR2,1600.0,8.0,2,9.0,8.0,2,0
DDR5,DDR5,7800.0,32.0,2,36.0,192.0,4,1
DDR4,DDR3,4600.0,32.0,2,20.0,32.0,2,0
DDR4,DDR4,3600.0,32.0,4,18.0,128.0,4,1
DDR5,DDR4,6000.0,64.0,2,30.0,128.0,8,0
DDR4,DDR4,3200.0,16.0,2,16.0,64.0,2,1
DDR4,DDR5,3600.0,32.0,2,16.0,256.0,4,0
DDR4,DDR4,3600.0,32.0,2,18.0,128.0,4,1
DDR5,DDR5,6000.0,48.0,2,30.0,256.0,4,1
DDR3,DDR4,2133.0,8.0,2,9.0,128.0,4,0
DDR5,DDR5,7200.0,32.0,2,34.0,256.0,4,1
DDR5,DDR4,5600.0,32.0,2,28.0,64.0,2,0
DDR5,DDR3,6000.0,64.0,2,26.0,32.0,4,0
DDR4,DDR4,3600.0,16.0,2,16.0,128.0,4,1
DDR4,DDR3,3200.0,16.0,2,16.0,32.0,4,0
DDR5,DDR4,5600.0,8.0,1,46.0,64.0,4,0
DDR3,DDR4,1866.0,32.0,4,9.0,64.0,4,0
DDR4,DDR5,3600.0,32.0,4,18.0,256.0,4,0
DDR5,DDR4,5200.0,64.0,2,40.0,128.0,4,0
DDR4,DDR3,4000.0,64.0,2,18.0,64.0,8,0
DDR5,DDR5,6800.0,16.0,2,34.0,128.0,2,1
DDR5,DDR5,6000.0,32.0,2,40.0,192.0,4,1
DDR4,DDR4,2666.0,8.0,1,18.0,128.0,4,1
DDR5,DDR2,5600.0,32.0,2,32.0,4.0,2,0
DDR4,DDR4,3600.0,32.0,2,18.0,64.0,4,1
DDR4,DDR4,2133.0,16.0,1,15.0,32.0,2,1
DDR3,DDR3,1866.0,16.0,2,10.0,32.0,4,1
DDR4,DDR4,4000.0,64.0,8,15.0,128.0,4,1
DDR5,DDR5,7000.0,32.0,2,34.0,256.0,4,1
DDR5,DDR5,5200.0,32.0,2,38.0,192.0,4,1
DDR4,DDR5,2666.0,64.0,4,19.0,256.0,4,0
DDR5,DDR4,5200.0,16.0,1,40.0,32.0,2,0
DDR5,DDR4,5200.0,64.0,2,36.0,64.0,4,0
DDR5,DDR5,5600.0,32.0,2,28.0,192.0,4,1
DDR5,DDR5,6200.0,32.0,2,38.0,128.0,2,1
DDR4,DDR2,3600.0,32.0,4,16.0,4.0,2,0
DDR5,DDR5,6400.0,96.0,2,32.0,256.0,4,1
DDR4,DDR3,3200.0,16.0,1,16.0,64.0,4,0
DDR3,DDR4,1600.0,8.0,2,9.0,128.0,4,0
DDR5,DDR4,5600.0,32.0,2,46.0,128.0,4,0
DDR5,DDR5,8000.0,32.0,2,36.0,256.0,4,1
DDR5,DDR4,7600.0,32.0,2,36.0,32.0,2,0
DDR4,DDR4,2666.0,4.0,1,19.0,64.0,4,1
DDR5,DDR5,8000.0,32.0,2,38.0,128.0,4,1
DDR4,DDR4,2133.0,8.0,1,15.0,32.0,2,1
DDR5,DDR4,6000.0,32.0,2,30.0,64.0,4,0
DDR5,DDR5,6600.0,32.0,2,32.0,128.0,2,1
DDR4,DDR4,3200.0,16.0,2,16.0,128.0,4,1
DDR5,DDR4,6400.0,48.0,2,32.0,256.0,8,0
DDR4,DDR4,2133.0,32.0,2,15.0,64.0,4,1
DDR5,DDR3,6400.0,64.0,2,32.0,32.0,4,0
DDR4,DDR4,2400.0,16.0,2,16.0,128.0,4,1
DDR5,DDR5,8800.0,48.0,2,42.0,192.0,4,1
DDR5,DDR5,6000.0,32.0,2,30.0,256.0,4,1
DDR4,DDR4,4000.0,32.0,2,18.0,128.0,4,1
DDR4,DDR4,3200.0,32.0,2,16.0,128.0,4,1
DDR5,DDR4,5600.0,96.0,2,46.0,64.0,2,0
DDR5,DDR4,5200.0,32.0,2,40.0,128.0,4,0
DDR4,DDR4,3200.0,32.0,2,16.0,128.0,8,1
DDR5,DDR5,6000.0,96.0,2,30.0,192.0,4,1
DDR4,DDR4,3600.0,16.0,2,18.0,128.0,4,1
DDR4,DDR5,3200.0,32.0,4,16.0,192.0,4,0
DDR5,DDR5,6000.0,128.0,2,32.0,192.0,4,1
DDR5,DDR4,5600.0,16.0,2,40.0,192.0,4,0
DDR4,DDR4,2400.0,16.0,2,17.0,64.0,2,1
DDR3,DDR5,2933.0,16.0,2,12.0,128.0,4,0
DDR5,DDR4,5600.0,16.0,1,32.0,128.0,4,0
DDR4,DDR5,2400.0,16.0,1,17.0,256.0,4,0
DDR4,DDR4,3200.0,16.0,2,16.0,64.0,2,1
DDR4,DDR4,3600.0,16.0,2,18.0,512.0,4,1
DDR4,DDR4,3600.0,32.0,2,18.0,128.0,8,1
DDR5,DDR4,6000.0,16.0,1,32.0,128.0,4,0
DDR5,DDR3,5600.0,32.0,1,38.0,32.0,4,0
DDR4,DDR4,3200.0,8.0,1,16.0,128.0,4,1
DDR4,DDR5,3200.0,16.0,1,22.0,192.0,4,0
DDR5,DDR5,4800.0,32.0,2,40.0,256.0,4,1
DDR5,DDR4,6000.0,64.0,2,30.0,64.0,2,0
DDR5,DDR4,8000.0,32.0,2,38.0,64.0,8,0
DDR4,DDR3,3200.0,16.0,1,16.0,32.0,4,0
DDR5,DDR4,7200.0,32.0,2,34.0,128.0,4,0
DDR5,DDR5,6000.0,32.0,2,32.0,192.0,4,1
DDR5,DDR4,6000.0,64.0,2,30.0,64.0,2,0
DDR4,DDR5,2400.0,32.0,2,15.0,256.0,4,0
DDR4,DDR4,3600.0,32.0,2,16.0,64.0,4,1
DDR5,DDR5,6400.0,48.0,2,32.0,96.0,2,1
DDR5,DDR5,6000.0,96.0,2,30.0,256.0,4,1
DDR4,DDR4,3200.0,16.0,1,22.0,32.0,2,1
DDR4,DDR4,3200.0,32.0,2,16.0,128.0,4,1
DDR3,DDR5,2133.0,16.0,4,10.0,128.0,4,0
DDR5,DDR4,6400.0,64.0,2,32.0,128.0,4,0
DDR5,DDR3,6000.0,16.0,1,32.0,48.0,6,0
DDR5,DDR4,7200.0,48.0,2,34.0,64.0,4,0
DDR4,DDR4,2666.0,8.0,2,19.0,64.0,4,1
DDR5,DDR4,6000.0,32.0,2,40.0,64.0,2,0
DDR4,DDR4,4400.0,32.0,2,19.0,64.0,4,1
DDR5,DDR4,4800.0,16.0,2,40.0,64.0,4,0
DDR4,DDR5,3000.0,8.0,2,16.0,96.0,2,0
DDR4,DDR4,3200.0,16.0,2,16.0,64.0,4,1
DDR5,DDR5,7600.0,48.0,2,36.0,192.0,4,1
DDR2,DDR3,1066.0,2.0,2,5.0,64.0,4,0
DDR4,DDR4,3200.0,16.0,2,14.0,64.0,4,1
DDR4,DDR3,2933.0,16.0,2,15.0,32.0,4,0
DDR5,DDR4,6800.0,16.0,1,36.0,128.0,8,0
DDR4,DDR4,3000.0,64.0,2,16.0,64.0,2,1
DDR5,DDR4,6000.0,64.0,2,32.0,64.0,4,0
DDR5,DDR4,6800.0,32.0,2,40.0,64.0,4,0
DDR5,DDR4,5200.0,64.0,2,40.0,64.0,2,0
DDR4,DDR5,2133.0,16.0,1,15.0,256.0,4,0
DDR3,DDR4,1333.0,4.0,1,9.0,128.0,4,0
DDR5,DDR4,6000.0,16.0,1,32.0,64.0,2,0
DDR4,DDR4,3200.0,32.0,4,16.0,64.0,2,1
DDR5,DDR5,6000.0,32.0,2,28.0,128.0,2,1
DDR5,DDR4,7600.0,48.0,2,38.0,128.0,4,0
DDR5,DDR5,6000.0,32.0,2,36.0,256.0,4,1
DDR4,DDR4,3600.0,16.0,2,14.0,128.0,4,1
DDR4,DDR5,3200.0,32.0,2,16.0,192.0,4,0
DDR4,DDR4,3200.0,8.0,1,16.0,64.0,4,1
DDR5,DDR4,5200.0,16.0,2,42.0,128.0,4,0
DDR5,DDR5,6400.0,32.0,2,52.0,192.0,4,1
DDR5,DDR4,7200.0,32.0,2,34.0,128.0,4,0
DDR5,DDR5,7200.0,256.0,8,34.0,192.0,4,1
DDR4,DDR4,2800.0,16.0,2,17.0,128.0,4,1
DDR4,DDR3,3200.0,32.0,1,22.0,32.0,4,0
DDR4,DDR4,3200.0,8.0,1,16.0,32.0,2,1
DDR5,DDR5,6000.0,192.0,4,28.0,128.0,2,1
DDR4,DDR4,3200.0,16.0,2,16.0,128.0,4,1
DDR4,DDR4,3200.0,32.0,2,16.0,128.0,4,1
DDR5,DDR4,5600.0,128.0,2,46.0,64.0,2,0
DDR4,DDR4,3600.0,64.0,2,18.0,64.0,4,1
DDR5,DDR4,6400.0,32.0,2,38.0,64.0,4,0
DDR4,DDR4,3600.0,32.0,4,18.0,128.0,4,1
DDR5,DDR4,6000.0,96.0,2,28.0,128.0,4,0
DDR5,DDR3,7000.0,32.0,2,32.0,48.0,6,0
DDR4,DDR4,2400.0,16.0,2,15.0,64.0,4,1
DDR5,DDR4,5200.0,8.0,1,38.0,,8,0
DDR5,DDR5,6600.0,32.0,2,34.0,96.0,2,1
DDR5,DDR4,7200.0,64.0,2,34.0,128.0,8,0
DDR5,DDR5,5600.0,32.0,2,30.0,128.0,2,1
DDR5,DDR4,6000.0,32.0,2,30.0,64.0,4,0
DDR5,DDR4,7200.0,32.0,2,34.0,128.0,4,0
DDR5,DDR3,6000.0,32.0,2,36.0,16.0,4,0
DDR5,DDR5,6400.0,32.0,2,30.0,192.0,4,1
DDR5,DDR4,8000.0,32.0,2,38.0,64.0,2,0
DDR5,DDR4,6000.0,8.0,1,30.0,64.0,2,0
DDR4,DDR4,3200.0,16.0,2,16.0,64.0,4,1
DDR5,DDR4,5600.0,16.0,1,40.0,64.0,4,0
DDR4,DDR3,2666.0,64.0,1,19.0,32.0,4,0
DDR5,DDR5,8200.0,32.0,2,36.0,256.0,4,1
DDR5,DDR3,6000.0,64.0,2,36.0,4.0,2,0
DDR4,DDR3,3000.0,16.0,2,16.0,32.0,4,0
DDR5,DDR4,6000.0,96.0,2,28.0,256.0,8,0
DDR5,DDR3,6400.0,32.0,2,30.0,32.0,4,0
DDR5,DDR5,5600.0,8.0,1,40.0,128.0,2,1
DDR5,DDR3,6000.0,32.0,2,36.0,32.0,4,0
DDR5,DDR4,6000.0,32.0,2,38.0,64.0,4,0
DDR5,DDR5,8000.0,48.0,2,38.0,128.0,2,1
DDR5,DDR5,8000.0,32.0,2,36.0,256.0,4,1
DDR4,DDR4,3200.0,16.0,2,16.0,128.0,8,1
DDR5,DDR5,6000.0,32.0,2,28.0,256.0,4,1
DDR5,DDR5,6800.0,64.0,2,32.0,192.0,4,1
DDR3,DDR5,2133.0,16.0,2,9.0,96.0,2,0
DDR4,DDR4,3200.0,32.0,2,16.0,128.0,4,1
DDR5,DDR5,6400.0,64.0,2,32.0,256.0,4,1
DDR3,DDR5,1866.0,32.0,1,11.0,256.0,4,0
DDR5,DDR5,6000.0,64.0,2,30.0,256.0,4,1
DDR5,DDR5,5200.0,64.0,2,40.0,256.0,4,1
DDR4,DDR5,3600.0,32.0,2,19.0,192.0,4,0
DDR4,DDR4,2666.0,32.0,2,18.0,64.0,4,1
DDR5,DDR5,6000.0,64.0,2,30.0,256.0,4,1
DDR4,DDR4,3000.0,8.0,1,16.0,64.0,4,1
DDR4,DDR4,3200.0,32.0,2,14.0,64.0,8,1
DDR4,DDR5,2666.0,16.0,2,16.0,192.0,4,0
DDR4,DDR5,3200.0,16.0,2,16.0,256.0,4,0
DDR3,DDR3,1333.0,16.0,2,9.0,24.0,6,1
DDR4,DDR5,3200.0,64.0,1,22.0,256.0,4,0
DDR4,DDR3,3000.0,16.0,2,15.0,8.0,2,0
DDR4,DDR4,4000.0,32.0,2,16.0,64.0,4,1
DDR5,DDR4,8400.0,48.0,2,40.0,64.0,4,0
DDR4,DDR4,3200.0,8.0,1,22.0,64.0,4,1
DDR5,DDR5,5600.0,64.0,2,46.0,192.0,4,1
DDR5,DDR4,6000.0,96.0,2,30.0,64.0,2,0
DDR5,DDR5,6000.0,16.0,1,42.0,256.0,4,1
DDR5,DDR5,6000.0,32.0,2,36.0,192.0,4,1
DDR4,DDR5,4000.0,16.0,2,16.0,192.0,4,0
DDR5,DDR3,6000.0,64.0,2,26.0,16.0,4,0
DDR5,DDR4,6000.0,64.0,2,30.0,64.0,4,0
DDR4,DDR4,3200.0,32.0,2,16.0,64.0,4,1
DDR5,DDR4,5200.0,96.0,2,40.0,32.0,2,0
DDR4,DDR4,3200.0,16.0,2,16.0,64.0,4,1
DDR5,DDR4,6000.0,32.0,2,30.0,64.0,4,0
DDR5,DDR5,6000.0,32.0,2,36.0,128.0,2,1
DDR4,DDR4,3200.0,16.0,2,16.0,64.0,2,1
DDR4,DDR5,2666.0,128.0,4,18.0,256.0,4,0
DDR5,DDR4,6000.0,32.0,2,40.0,128.0,4,0
DDR4,DDR4,3200.0,16.0,2,16.0,128.0,4,1
DDR5,DDR4,6600.0,96.0,2,32.0,64.0,4,0
DDR5,DDR3,5200.0,16.0,1,42.0,256.0,16,0
DDR5,DDR5,5600.0,32.0,1,28.0,256.0,4,1
DDR4,DDR4,2666.0,32.0,1,19.0,64.0,2,1
DDR4,DDR3,3600.0,32.0,2,16.0,64.0,4,0
DDR5,DDR4,6000.0,16.0,1,40.0,128.0,4,0
DDR5,DDR5,5600.0,32.0,2,30.0,128.0,2,1
DDR4,DDR4,3200.0,256.0,8,16.0,128.0,8,1
DDR4,DDR3,3000.0,16.0,2,16.0,48.0,6,0
DDR4,DDR4,3000.0,16.0,2,15.0,32.0,2,1
DDR5,DDR3,6600.0,32.0,2,30.0,32.0,4,0
DDR3,DDR3,1600.0,16.0,2,11.0,16.0,2,1
DDR4,DDR4,3000.0,16.0,2,16.0,64.0,4,1
DDR5,DDR5,6000.0,32.0,2,36.0,192.0,4,1
DDR4,DDR4,3200.0,16.0,2,16.0,64.0,4,1
DDR5,DDR5,6000.0,32.0,2,40.0,192.0,4,1
DDR5,DDR4,5600.0,32.0,2,40.0,32.0,2,0
DDR5,DDR5,6400.0,32.0,2,32.0,256.0,4,1
DDR4,DDR4,3000.0,16.0,2,16.0,64.0,2,1
DDR4,DDR5,4800.0,16.0,2,18.0,96.0,2,0
DDR5,DDR3,6600.0,48.0,2,34.0,16.0,4,0
DDR4,DDR4,3000.0,64.0,4,15.0,128.0,4,1
DDR5,DDR5,8200.0,32.0,2,38.0,192.0,4,1
DDR5,DDR4,7000.0,192.0,4,34.0,64.0,4,0
DDR5,DDR4,7200.0,32.0,2,34.0,128.0,4,0
DDR4,DDR4,4266.0,64.0,2,19.0,128.0,4,1
DDR4,DDR4,3600.0,16.0,2,18.0,64.0,2,1
DDR4,DDR3,3200.0,64.0,4,16.0,32.0,2,0
DDR5,DDR4,6000.0,32.0,2,36.0,64.0,2,0
DDR3,DDR3,2133.0,16.0,2,11.0,32.0,4,1
DDR5,DDR4,6000.0,32.0,2,28.0,32.0,2,0
DDR4,DDR3,3000.0,8.0,2,16.0,24.0,6,0
DDR5,DDR4,5600.0,32.0,2,36.0,128.0,4,0
DDR4,DDR4,3000.0,64.0,4,15.0,128.0,4,1
DDR4,DDR3,3200.0,64.0,2,16.0,32.0,4,0
DDR2,DDR5,800.0,1.0,1,5.0,256.0,4,0
DDR5,DDR5,5600.0,16.0,1,40.0,192.0,4,1
DDR4,DDR3,3600.0,32.0,4,18.0,16.0,4,0
DDR5,DDR4,6000.0,32.0,2,32.0,64.0,2,0
DDR4,DDR4,3200.0,32.0,4,16.0,128.0,4,1
DDR5,DDR4,6000.0,64.0,2,30.0,32.0,2,0
DDR5,DDR5,6000.0,16.0,2,40.0,192.0,4,1
DDR5,DDR2,5600.0,192.0,8,36.0,16.0,4,0
DDR5,DDR5,6800.0,96.0,2,40.0,256.0,4,1
DDR5,DDR5,7600.0,32.0,1,36.0,192.0,4,1
DDR5,DDR4,6000.0,16.0,2,40.0,64.0,2,0
DDR5,DDR5,5600.0,32.0,1,36.0,256.0,4,1
DDR4,DDR4,3600.0,16.0,1,18.0,64.0,4,1
DDR5,DDR4,7600.0,32.0,2,38.0,1024.0,16,0
DDR5,DDR5,8000.0,16.0,1,38.0,192.0,4,1
DDR4,DDR4,2666.0,16.0,1,16.0,64.0,2,1
DDR5,DDR5,5200.0,16.0,1,40.0,96.0,2,1
DDR4,DDR3,3200.0,32.0,2,16.0,32.0,4,0
DDR5,DDR4,6000.0,32.0,2,30.0,128.0,4,0
DDR4,DDR4,3200.0,16.0,2,14.0,64.0,2,1
DDR5,DDR5,6000.0,16.0,1,36.0,256.0,4,1
DDR4,DDR4,3600.0,16.0,2,18.0,128.0,4,1
DDR4,DDR5,2400.0,64.0,8,15.0,256.0,4,0
DDR5,DDR5,6000.0,64.0,2,40.0,192.0,4,1
DDR5,DDR5,6000.0,64.0,2,30.0,192.0,4,1
DDR5,DDR3,6800.0,32.0,2,34.0,32.0,4,0
DDR5,DDR3,6400.0,32.0,2,32.0,64.0,4,0
DDR4,DDR3,3600.0,32.0,2,16.0,16.0,2,0
DDR3,DDR4,1600.0,8.0,1,11.0,32.0,2,0
