motherboard_id,case_id,motherboard_form_factor,case_supported_motherboards,motherboard_ram_type,motherboard_memory_slots,case_form_factor,form_factor_match,label
aa9e3f63-273c-461c-a17d-a8e73837494a,cab8732b-6614-4776-bd60-6074b9239fe0,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
29a89ff1-a36c-4732-b533-c036c33211a2,2e2a20c1-c60e-4f8f-939b-e987c1e937e3,ATX,Mini-ITX,DDR4,4,Mini ITX Tower,0,0
549a8ece-1eef-4c38-9245-7fba81ef8265,fa1f19b3-6e22-4f4d-87f1-46e6983d680d,SSI CEB,Micro ATX | Mini-ITX,DDR3,8,Micro ATX Mini Tower,0,0
94cdcd3c-e0b7-4164-8b40-501e9a8bfd57,e6927213-4438-458d-8a83-3fb2c2789285,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR3,4,ATX Mid Tower,1,1
b7de6d33-c41a-4327-b0fa-1209541e0e2b,8b69ee84-eaca-4f99-b40b-18a94719ebdf,ATX,Micro ATX | Mini-ITX,DDR4,4,Micro ATX Mini Tower,0,0
ffc7a120-be51-4c9c-8f37-bbb47b4e3fe4,645a8ea1-4e25-40ec-8f73-2cf64315f0d4,Micro ATX,Mini-ITX,DDR4,4,HTPC,0,0
7f7d46e4-0022-4cd2-8911-c81e9a2c4694,04ebe8b6-6242-4887-85c1-2124a75f75af,Micro ATX,ATX | Micro ATX | Mini-ITX | EATX,DDR5,2,ATX Mid Tower,1,1
38461941-af56-4c21-a1c0-eac865f91deb,e8d6d082-20c3-432e-ac41-192c4791fcb1,ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,1,1
ca1846f9-7d3e-45e7-b77a-7e0da4f868fb,64e5297a-a955-46b5-a5bf-7b46ec06b862,ATX,Mini-ITX,DDR4,4,Mini ITX Tower,0,0
983186db-a6cd-4110-8f2d-e7be42d5b1e3,d81c92ac-cf30-4f09-9e53-fdc38cc33b38,ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,1,1
112fcfd2-cd66-4807-ae37-6f937c0e30eb,cbc1b64a-62c6-4862-ba83-88a0d93d0944,ATX,Mini-ITX,DDR4,4,Mini ITX Tower,0,0
da2d15e7-0b9b-416f-9ce8-40bd97d57f9e,30051463-6003-4981-aa95-eaf4cf936058,ATX,Micro ATX | Mini-ITX,DDR4,4,Micro ATX Mid Tower,0,0
a78c4360-6f73-4f83-a49d-fe37d4686459,6e0a0261-8e71-49c0-9e73-f8e2c27d9a87,ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Full Tower,1,1
13b772e1-3130-4bbb-9333-d1c099bfc6a5,88399bbd-0179-4b79-804a-87d83dc2ae82,ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
782be135-8dfb-4551-8238-b96c4ec7ba4e,97556b69-83b7-448a-8030-04ea2f4e6e46,EATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,0,0
f5dd7b4c-06f4-4bbf-b989-239539c0b823,035a3d9e-7a5a-4eee-90a3-157c02d101d7,ATX,ATX | Micro ATX | Mini-ITX,DDR3,4,ATX Mid Tower,1,1
f833bd9c-75d1-46d5-ade9-6eeef46703e0,e077b5c9-0d49-4c89-916d-d361e7f375f4,Mini ITX,Mini-ITX,DDR4,2,Mini ITX Tower,0,0
f95a2cf1-ec57-4529-aed6-e3674858fa29,9243c996-8d03-4c39-972e-0aab662c85ef,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,1,1
527cfd01-1fb2-4caf-af1e-5b00f8a8718b,abffaabd-4ed7-4d4e-b631-67f3770e4feb,ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
011e1664-de3e-4923-9e24-1ba2dbb138e6,f643fc5a-9a4a-4d07-ab4b-cb6fdde351ab,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,1,1
ed24caba-a286-4435-954c-a0586564cff5,cac2c52b-275e-439f-8fa6-c6bc9cb19839,ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,1,1
9f3ac948-4a42-423f-bc5f-6d5e46f023fa,16a09b25-33f2-45af-bef6-7b10c266ea5b,Micro ATX,ATX | Micro ATX | Mini-ITX | EATX,DDR4,2,ATX Mid Tower,1,1
4e201f81-35fb-46eb-a668-cc4051e5cced,377449ff-c468-48aa-a584-af3cd5afc132,ATX,Mini-ITX,DDR5,4,Mini ITX Tower,0,0
3ad732be-3e12-404c-8543-dd0891883f45,75301f4f-6b01-4f9f-8018-4362379ecbd1,ATX,Mini-ITX,DDR4,8,Mini ITX Tower,0,0
e4c2b393-016d-4974-9dd1-c4a9eea73a17,104a508d-19cd-499d-896e-c5855ef4e338,ATX,Mini-ITX,DDR3,4,Mini ITX Tower,0,0
9b2249cc-4119-420b-a794-f500d7e87655,369ff180-824f-4be4-bb16-119383cc7362,EATX,ATX | Micro ATX | Mini-ITX,DDR4,2,ATX Mid Tower,0,0
8bb61129-94d8-4fd0-81da-847582a7e956,7d059970-056c-4e51-a38d-15423c6e4d6e,ATX,Micro ATX | Mini-ITX,DDR4,4,Micro ATX Mini Tower,0,0
872d441f-a109-4217-9e58-ece9ffc5d4fa,a0390e4b-b16d-4166-81ae-225665c17b15,Micro ATX,Mini-ITX,DDR4,2,Mini ITX Tower,0,0
8dc09daf-5715-4d13-bf55-89f4e723aff8,c454dfa2-61be-46db-8bc4-09c29cd96107,ATX,ATX | Micro ATX | Mini-ITX,DDR3,4,ATX Mid Tower,1,1
1f205149-eba0-4890-929f-3498d29b6743,d7238ad8-4363-4e1b-afba-cae59de01f42,Micro ATX,Mini-ITX,DDR4,4,Mini ITX Tower,0,0
2276c522-58b8-4cbf-8472-94b537d7ec3c,7b8a35d4-0737-4d76-9399-530a1742dc37,ATX,Micro ATX | Mini-ITX,DDR3,4,Micro ATX Mini Tower,0,0
3b70b6ea-012f-407b-898d-2412b40a08e7,7fc01d8b-b701-4103-90d7-82ff60bc150f,ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
cfd3722b-bdb3-4af8-94c0-424f52f678b4,92ac5c8e-0d35-48eb-ad63-034e53839342,EATX,ATX | Micro ATX | Mini-ITX,DDR4,8,ATX Mid Tower,0,0
8307dc07-a0b0-4c67-8745-b1f62f665607,6108e202-c30a-4ca8-b4f9-522f58c9ad7f,ATX,Micro ATX | Mini-ITX,DDR4,4,Micro ATX Mini Tower,0,0
76ba6840-2649-4e0b-b589-a37fd554061d,487a3caa-cc6e-4747-aaa6-85fd6ae633ce,ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
f8893dbc-3158-490b-8587-f6f9f0e39370,fed75324-3556-4834-a7fa-61b78b774190,Mini ITX,ATX | Micro ATX | Mini-ITX,DDR5,2,ATX Mid Tower,0,0
daa1430d-7bd9-440a-b3b1-f2c7da0c7edc,89c1183f-2eae-48c6-ba0d-7cb84e60f569,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
4a0d9f1b-6082-41bc-a63f-d1b3c1f41717,139a55b5-1040-4360-8893-ba593c59a34e,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR3,2,ATX Mid Tower,1,1
68e84ad3-98bf-4dae-b892-b1f8808bb604,68e57f90-93c9-4b71-8a49-1f518635bf81,ATX,Micro ATX | Mini-ITX,DDR4,4,Micro ATX Mini Tower,0,0
9330edb5-58e7-421c-8ffb-4fea9e314c02,15052a79-5209-4827-86e3-4a7027f23303,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,1,1
fa8ac75c-0135-4a21-b70b-d5d58bcf2933,b392695b-c9e5-4ad2-87cf-b1d08241aa3e,EATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,0,0
e5acd9db-fa5a-4437-ac0a-49126796ff8a,52b813cc-18f3-405d-93c4-d8b1226523f5,ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,1,1
47ab045f-4ec7-4258-b4dd-be5e7f30c748,6a5a0254-ecb8-4dc8-a325-f8eb6e675ddb,ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Full Tower,1,1
20e532e0-1875-4ca1-b8cd-4ef71fb008fc,7f3831d3-3109-4bc5-961f-c01f4d8abe84,ATX,Mini-ITX,DDR4,4,Mini ITX Tower,0,0
81462f28-12c0-45d5-a7ff-9f566a2403d2,c7600d73-ed76-4a34-a39b-2681e34ae5f6,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR4,2,ATX Test Bench,1,1
9a42a179-bd25-4d06-aa8f-a3a42449cebc,8d478069-5380-40fc-99f1-118af18a38da,ATX,Micro ATX | Mini-ITX,DDR4,4,Micro ATX Mini Tower,0,0
27661bf7-25d8-451a-8423-f603ded04822,1c8e690b-02fd-455f-9860-10c78b253fdb,EATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Full Tower,0,0
2276c522-58b8-4cbf-8472-94b537d7ec3c,1ff38607-62b4-4356-a2cd-79998b51b885,ATX,Mini-ITX,DDR3,4,Mini ITX Tower,0,0
f262fc1a-c7d6-4fa1-945f-805713beb902,54228197-78b8-4d81-bffa-20809002441d,ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,1,1
24fc2ae8-5b53-41e9-9148-01daed36065b,06edf99d-ba33-4e40-9ae4-87f8ecaf9bbf,Micro ATX,Micro ATX | Mini-ITX,DDR4,4,Micro ATX Mini Tower,1,1
c29641ca-42b7-4085-94dd-972344276817,f99b0f25-b74c-426f-87dd-4ec6e0ceb8c0,ATX,Micro ATX | Mini-ITX,DDR4,4,Micro ATX Mini Tower,0,0
27aeea3a-d66e-4ec1-9b0a-2c402ac8e6b6,7a39c2c3-d65c-431f-bb74-ca13246e2026,ATX,Micro ATX | Mini-ITX,DDR4,4,Micro ATX Mini Tower,0,0
b2c9a780-cae9-4861-9abc-fe2da96cc80a,ee117f93-71d9-4b44-90c0-5d21134568df,ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Full Tower,1,1
51a8afb3-6ebe-4666-b507-b949bfb7e84b,0d5d063d-ad04-49dc-8ecc-fd979d2b2ecc,Mini ITX,Micro ATX | Mini-ITX | ATX,DDR4,2,ATX Mid Tower,0,0
26a08e6a-dd24-4182-93ba-9b6924f5ec95,0cf19806-5ab5-4176-ae7d-8df04126fd32,ATX,Mini-ITX,DDR5,4,Mini ITX Tower,0,0
3ed7370e-d20b-4115-ae5a-5f86f5e84a47,8d5a043f-ba9e-4686-b13d-b3fccc492c4c,ATX,Micro ATX | Mini-ITX,DDR4,4,Micro ATX Mini Tower,0,0
a1e74888-734b-40d4-bfb1-576af92e256a,3b448d02-7a85-4331-b1d1-5e0efdc8d394,ATX,Micro ATX | Mini-ITX,DDR4,4,Micro ATX Mid Tower,0,0
25df8181-0940-480a-a33a-5693fe67c4df,f5c2917f-c551-41d8-83dc-7773958916ee,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR5,2,ATX Mid Tower,1,1
42c8af99-35ea-40f7-9b78-5844e492f5b8,e5a07aed-60cf-495a-865d-4812600b3371,Mini ITX,ATX | Micro ATX | Mini-ITX,DDR3,2,ATX Mid Tower,0,0
93f29c3d-4be4-46eb-95e0-53d8dc67fd7d,b9e20e76-7e88-40de-9586-be0cb679b1fa,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,1,1
8f6d5701-713e-45fa-aa12-751e133f2d91,6dedefda-0fab-47bc-b3c5-3ba5f09542de,SSI CEB,ATX | Micro ATX | Mini-ITX,DDR4,8,ATX Mid Tower,0,0
7dd67ac0-df01-4c9a-83e8-dacabc3c1ef4,48b4be28-60c3-4e51-8d0a-aca19a3f3e51,ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,1,1
d26554c7-63dc-4dda-9e49-c68e03348675,4ae15b51-a30a-4bb8-b51d-7a3d4e5d2cb9,Micro ATX,ATX | Micro ATX | Mini-ITX | EATX,DDR4,2,ATX Full Tower,1,1
5669e25f-3342-41cf-923f-7794c3057268,e1ebefa7-2049-44bd-a6bd-19153dcd20e9,Micro ATX,EATX | ATX | Micro ATX | Mini-ITX,DDR5,2,EATX Mid Tower,1,1
8fb65091-546c-486b-a33e-1dfa2d249fd4,22b8e493-ec73-4a3b-a6ca-67d1fcb8ad5c,Micro ATX,ATX | Micro ATX | Mini-ITX | EATX,DDR5,4,ATX Mid Tower,1,1
3b944bed-62ba-48fe-a462-81fbedf72f03,bdae26ef-6f88-4078-a9f9-b57e500bb3da,ATX,Micro ATX | Mini-ITX,DDR3,4,Micro ATX Mid Tower,0,0
733afb75-f773-479c-bb7d-154419496642,e8095991-c8ad-4ff6-9015-d6234ff0a40e,ATX,ATX | Micro ATX | Mini-ITX,DDR3,4,ATX Full Tower,1,1
7b603d3e-f153-47f7-a870-4ff7c6b94b5f,b962ca4d-c3ce-41cb-8d46-e36f1d372f08,Micro ATX,Micro ATX | Mini-ITX,DDR4,2,Micro ATX Desktop,1,1
4d69e5f9-b31b-4913-9581-e9a8434d8903,48305205-b636-4d52-94fb-5f46bd119d50,ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
c8be48af-9933-4ee2-bb1c-b0c829636ade,9366681d-33ca-45d4-8724-9f780ceae6cb,ATX,Mini-ITX,DDR4,4,Mini ITX Test Bench,0,0
7be9c9a2-e515-41c0-8d90-7864cf61501e,09442b0a-7aa1-4256-8c58-e927fa752320,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR4,2,ATX Mid Tower,1,1
8511ed4a-4130-4fcc-b109-ef9bab88bf89,f411492a-bd1d-4c75-b64a-2c5f8ce6bd5c,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,1,1
06924f1a-9f50-4ad4-8057-cde3d0525db7,5b063ce6-a082-48eb-88b8-c99903a0f27d,Mini ITX,ATX | Micro ATX | Mini-ITX | EATX,DDR5,2,ATX Full Tower,0,0
e55cb9b0-af43-43d6-b18e-da760b70d985,2c6293a2-1236-46b9-9645-b65240a98e71,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR3,4,ATX Mid Tower,1,1
acd55185-de1c-46e0-9d84-038b9e0bc741,b962ca4d-c3ce-41cb-8d46-e36f1d372f08,ATX,Micro ATX | Mini-ITX,DDR4,4,Micro ATX Desktop,0,0
6e48b59f-feee-4754-bde2-c740700a067a,ba4957a9-c0c7-4194-98a8-b604c1cc1e50,ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
b174f7c9-047b-4fd1-8c87-e883ece91d5e,601cb5b2-52b1-4f4d-b309-55a5c48fbd1a,ATX,Micro ATX | Mini-ITX,DDR3,2,Micro ATX Desktop,0,0
e7de4693-004d-4589-a2b7-ccbc285d4905,795e7356-e045-435a-bc13-d9b9278d6931,Mini ITX,Mini-ITX,DDR3,2,Mini ITX Tower,0,0
a8d368ff-9815-4e65-bd90-022f8604f91f,318d4b2d-fda1-403b-9606-2f143f32ad5e,ATX,Micro ATX | Mini-ITX,DDR4,4,Micro ATX Mid Tower,0,0
994e81c8-6774-4923-8660-eef7fef007d7,49310a1f-2c7c-445c-a255-fe40a57c6e89,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR3,4,ATX Mid Tower,1,1
f66f2c8f-b999-444d-8793-62322ececcc8,4eb2c491-1d46-4db7-8166-009e4a7fdc2d,ATX,Mini-ITX,DDR5,2,Mini ITX Tower,0,0
a45fa945-9890-4e0a-ab92-4cdab881ee31,278aed71-35e2-4620-807b-0b6461cd865f,XL ATX,ATX | Micro ATX | Mini-ITX,DDR4,8,ATX Full Tower,0,0
625a922d-79e9-4563-9636-f05b8fcdc6a9,38dd1c03-f982-4d1c-b02d-7d308f1766bc,ATX,Micro ATX | Mini-ITX,DDR3,4,Micro ATX Mid Tower,0,0
32d3d89d-fe09-491a-9243-018967008ff7,a0390e4b-b16d-4166-81ae-225665c17b15,Micro ATX,Mini-ITX,DDR4,4,Mini ITX Tower,0,0
1f042bfc-328b-4175-bd80-162a6edd8051,de608a53-1b8c-4763-916d-4ba9b5b235f8,Micro ATX,Micro ATX | Mini-ITX,DDR4,2,Micro ATX Mini Tower,1,1
86706ca4-aec7-482f-bfdc-ca5917668859,779d98b2-d715-4faa-8d08-49f469ef6478,EATX,Micro ATX | Mini-ITX,DDR4,2,Micro ATX Desktop,0,0
1f08e282-5f3d-4f73-a0c3-fefd8e774618,12ad3d96-45d1-4e87-b7f0-8a750dd45e70,Mini ITX,ATX | Micro ATX | Mini-ITX,DDR3,2,ATX Full Tower,0,0
4d69e5f9-b31b-4913-9581-e9a8434d8903,1c363f22-e0a3-4648-bbbb-580fd06e82ae,ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
e5e3cf19-cc07-48be-ab2b-70e5c32e78d4,c3eaac74-eed4-454f-89e7-ea1a4936f96a,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
4e1abdac-91ac-4180-921a-5091f8b4fca0,84d78135-66d8-4484-b880-d72cce82e6a8,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR5,2,ATX Full Tower,1,1
ebc00f18-5b95-4c9f-a8a6-edb10bc86eba,94bf6d44-5918-482f-ad10-2f6aaa1d4118,ATX,Micro ATX | Mini-ITX,DDR4,4,Micro ATX Mini Tower,0,0
3ae4f9c8-1e2e-469f-b5e3-cd21692f6c60,96267886-1a8a-429b-ba69-0e9cc37c2c93,EATX,Mini-ITX,DDR4,8,Mini ITX Tower,0,0
a436b7cf-5dac-469e-80b5-ddf2f8e06f35,76f6e555-84dc-4484-b18e-abc7d72ba049,EATX,Mini-ITX,DDR4,4,Mini ITX Tower,0,0
a30b2683-c1fe-4bc2-81e7-0699819d7669,1fc33892-ddca-40ac-a52a-6bb73ef49c66,ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,1,1
3de5d1aa-ba1b-4ccd-8361-5555ddc8a870,13dbcbce-1695-4a57-81f1-22121707df31,Mini ITX,ATX | Micro ATX | Mini-ITX,DDR4,2,ATX Mid Tower,0,0
c37889ea-5e56-4866-9338-f43b0823e38e,d40cf0f6-3be1-4795-b104-0d2a4d590002,Mini ITX,Micro ATX | Mini-ITX,DDR4,2,Micro ATX Mini Tower,0,0
bf1bee57-a087-4f2b-b5ef-653443f6cd05,28f417c0-b782-47dc-b39a-7dcacd1ce185,EATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,0,0
